area_sqft,bhk,bathrooms,balconies,parking,age_years,floor,total_floors,property_type,furnishing,availability,location,amenities_score,distance_to_center_km,nearby_schools,nearby_hospitals,price
2492,4,5,2.0,1.0,10,2,3,Apartment,Semi-Furnished,Ready to Move,Koramangala,9.9,1.0,5.0,4,39970000
2174,4,4,1.0,2.0,9,7,10,Apartment,Semi-Furnished,Ready to Move,Jayanagar,7.4,1.0,3.0,0,28790000
1242,3,4,1.0,1.0,5,12,15,Villa,Unfurnished,Under Construction,Marathahalli,3.5,17.6,1.0,5,9330000
748,3,3,1.0,0.0,2,1,5,Apartment,Furnished,Ready to Move,Whitefield,0.0,14.5,3.0,4,6080000
523,1,2,2.0,0.0,5,5,5,Apartment,Semi-Furnished,Ready to Move,Marathahalli,2.7,12.4,4.0,1,2720000
3375,5,6,1.0,2.0,9,4,5,Apartment,Semi-Furnished,Under Construction,Koramangala,8.5,1.0,4.0,0,45000000
1843,4,4,1.0,1.0,4,5,20,Apartment,Semi-Furnished,Under Construction,Whitefield,4.9,19.1,2.0,0,12670000
2011,4,5,1.0,0.0,0,11,15,Villa,Semi-Furnished,Ready to Move,Yelahanka,3.5,17.2,3.0,4,15290000
1517,3,3,1.0,2.0,0,2,5,Apartment,Semi-Furnished,Ready to Move,Banashankari,2.6,6.0,2.0,3,13880000
757,2,2,1.0,1.0,3,12,15,Apartment,Semi-Furnished,Under Construction,Hebbal,5.3,9.6,4.0,2,4810000
2249,4,4,1.0,2.0,1,3,15,Villa,Unfurnished,Ready to Move,Electronic City,1.9,24.2,4.0,1,16310000
1261,2,3,2.0,1.0,18,21,25,Independent House,Semi-Furnished,Under Construction,Whitefield,4.3,27.9,2.0,3,8920000
1351,3,4,2.0,0.0,1,4,7,Villa,Unfurnished,Ready to Move,Sarjapur Road,2.5,19.6,3.0,1,9840000
425,1,2,2.0,1.0,4,19,20,Independent House,Semi-Furnished,Ready to Move,Indiranagar,10.0,2.3,1.0,2,7450000
1973,4,5,2.0,2.0,9,4,7,Independent House,Semi-Furnished,Ready to Move,Koramangala,8.5,6.6,1.0,1,34490000
527,2,2,2.0,0.0,13,11,20,Apartment,Unfurnished,Ready to Move,Jayanagar,6.5,11.2,0.0,2,4390000
1014,2,3,2.0,2.0,5,3,3,Apartment,Semi-Furnished,Under Construction,Whitefield,6.4,23.2,5.0,2,6830000
1526,3,3,0.0,1.0,1,5,5,Villa,Unfurnished,Under Construction,Yelahanka,2.4,11.4,3.0,3,7270000
1869,3,4,3.0,1.0,2,2,15,Villa,Furnished,Under Construction,HSR Layout,4.2,11.6,2.0,3,31060000
1345,3,4,0.0,1.0,4,9,15,Villa,Unfurnished,Ready to Move,Marathahalli,5.6,12.6,4.0,0,11170000
1027,2,2,1.0,2.0,3,3,7,Apartment,Furnished,Under Construction,Electronic City,3.7,22.2,3.0,0,6140000
455,1,1,0.0,1.0,3,10,10,Apartment,Semi-Furnished,Under Construction,Jayanagar,6.2,4.9,2.0,6,3840000
1300,3,3,0.0,1.0,1,6,7,Apartment,Unfurnished,Under Construction,Jayanagar,5.7,8.2,3.0,0,12260000
1945,5,6,2.0,2.0,19,1,3,Apartment,Unfurnished,Ready to Move,Koramangala,8.8,2.9,4.0,0,23970000
1922,4,4,1.0,0.0,0,1,3,Apartment,Unfurnished,Ready to Move,Banashankari,5.9,12.3,4.0,3,14590000
1314,3,3,2.0,0.0,4,2,3,Independent House,Unfurnished,Ready to Move,Sarjapur Road,2.5,18.0,6.0,1,8070000
2119,4,5,1.0,0.0,31,8,10,Apartment,Unfurnished,Ready to Move,Yelahanka,3.8,15.3,2.0,2,8550000
831,2,2,1.0,1.0,8,1,7,Apartment,Semi-Furnished,Ready to Move,Yelahanka,3.4,17.7,1.0,1,3960000
1423,3,3,1.0,1.0,3,2,5,Apartment,Unfurnished,Ready to Move,Marathahalli,2.8,15.1,5.0,2,9000000
1306,3,4,2.0,2.0,1,11,20,Villa,Semi-Furnished,Under Construction,Yelahanka,3.0,17.8,1.0,1,8290000
887,2,2,,1.0,26,1,5,Apartment,Semi-Furnished,Ready to Move,Whitefield,3.5,19.6,4.0,5,5790000
1422,3,4,1.0,1.0,0,10,10,Apartment,Semi-Furnished,Ready to Move,Koramangala,9.9,8.0,1.0,1,19290000
1411,3,3,1.0,2.0,9,19,20,Apartment,Unfurnished,Ready to Move,Whitefield,3.4,23.0,4.0,1,9770000
1094,2,2,3.0,1.0,16,4,5,Apartment,Furnished,Under Construction,Electronic City,5.6,22.0,3.0,1,5910000
927,2,2,0.0,2.0,0,5,5,Independent House,Semi-Furnished,Ready to Move,Electronic City,3.5,24.5,3.0,1,6680000
511,1,1,1.0,1.0,10,1,10,Independent House,Semi-Furnished,Ready to Move,HSR Layout,3.7,9.2,2.0,3,4630000
1349,3,4,1.0,0.0,50,6,10,Apartment,Unfurnished,Ready to Move,Hebbal,1.7,13.7,2.0,2,5830000
814,2,3,0.0,1.0,8,7,10,Apartment,Semi-Furnished,Ready to Move,Electronic City,3.0,24.5,5.0,3,4430000
881,2,2,1.0,0.0,4,3,10,Villa,Semi-Furnished,Ready to Move,HSR Layout,8.3,10.7,5.0,1,13110000
1968,3,3,0.0,0.0,16,8,20,Apartment,Furnished,Ready to Move,Jayanagar,8.5,3.5,6.0,2,19350000
1144,3,3,2.0,1.0,6,1,3,Apartment,Furnished,Ready to Move,Koramangala,8.2,1.0,1.0,5,17890000
1321,3,3,2.0,1.0,11,11,15,Apartment,Semi-Furnished,Ready to Move,Hebbal,3.9,12.9,0.0,2,11770000
1291,3,3,2.0,0.0,7,2,5,Independent House,Furnished,Under Construction,Whitefield,3.7,17.8,4.0,3,11780000
1901,4,5,1.0,1.0,0,2,7,Apartment,Semi-Furnished,Ready to Move,Banashankari,5.0,11.2,3.0,5,17870000
1867,4,4,2.0,1.0,1,1,3,Apartment,Unfurnished,Under Construction,Sarjapur Road,5.3,13.5,2.0,1,10440000
2111,4,4,2.0,1.0,0,4,7,Villa,Semi-Furnished,Ready to Move,Koramangala,8.9,8.0,3.0,0,47080000
921,3,3,3.0,0.0,0,12,15,Apartment,Unfurnished,Ready to Move,Whitefield,5.8,20.2,4.0,3,7030000
1147,2,2,0.0,1.0,0,1,3,Apartment,Semi-Furnished,Ready to Move,Hebbal,6.0,9.4,1.0,5,10870000
3154,5,6,1.0,1.0,4,1,7,Independent House,Unfurnished,Under Construction,Sarjapur Road,5.1,16.6,0.0,3,23380000
713,2,2,2.0,1.0,1,7,7,Apartment,Semi-Furnished,Ready to Move,Sarjapur Road,0.3,17.4,5.0,2,4470000
518,2,2,3.0,1.0,15,3,5,Villa,Semi-Furnished,Ready to Move,Sarjapur Road,2.3,19.4,6.0,2,4140000
764,2,2,3.0,0.0,11,10,15,Apartment,Semi-Furnished,Ready to Move,Whitefield,2.7,16.3,2.0,7,4970000
523,1,2,2.0,1.0,6,14,15,Apartment,Semi-Furnished,Under Construction,Electronic City,1.5,19.1,1.0,5,2370000
4244,5,5,1.0,2.0,5,15,15,Apartment,Semi-Furnished,Ready to Move,Whitefield,4.3,19.0,4.0,1,42150000
1552,3,4,0.0,1.0,2,10,10,Apartment,Furnished,Under Construction,Hebbal,2.8,11.9,3.0,1,16670000
893,3,3,3.0,0.0,5,8,10,Apartment,Semi-Furnished,Ready to Move,Marathahalli,2.6,16.1,1.0,3,6160000
1206,3,4,1.0,0.0,8,1,7,Independent House,Semi-Furnished,Ready to Move,Electronic City,3.2,22.8,2.0,0,8110000
1385,3,4,1.0,2.0,12,8,10,Apartment,Furnished,Ready to Move,Whitefield,1.9,18.8,3.0,1,9790000
577,1,1,3.0,1.0,0,3,7,Apartment,Unfurnished,Ready to Move,Electronic City,2.6,22.7,2.0,4,2730000
1031,3,4,0.0,1.0,9,12,25,Apartment,Furnished,Ready to Move,Electronic City,4.3,22.5,1.0,3,7010000
1362,3,4,2.0,1.0,10,14,25,Independent House,Semi-Furnished,Ready to Move,Sarjapur Road,1.8,17.2,0.0,1,9460000
813,2,2,2.0,2.0,6,18,20,Apartment,Unfurnished,Under Construction,Marathahalli,5.2,14.3,5.0,1,4500000
1090,3,3,0.0,0.0,1,7,7,Apartment,Unfurnished,Ready to Move,Yelahanka,1.8,9.5,2.0,4,5220000
999,2,3,1.0,1.0,6,7,7,Apartment,Semi-Furnished,Ready to Move,Indiranagar,9.1,7.8,4.0,1,16400000
1097,2,3,0.0,1.0,5,12,20,Apartment,Unfurnished,Under Construction,Whitefield,2.7,21.6,1.0,3,5400000
1109,2,3,2.0,1.0,5,4,15,Apartment,Unfurnished,Under Construction,Sarjapur Road,4.3,22.5,4.0,1,5990000
1059,2,3,1.0,0.0,4,13,15,Independent House,Semi-Furnished,Ready to Move,Sarjapur Road,3.2,15.6,4.0,4,7900000
1801,4,5,0.0,1.0,0,5,7,Apartment,Semi-Furnished,Ready to Move,Jayanagar,7.4,7.7,4.0,2,24310000
2285,4,5,3.0,2.0,1,11,15,Apartment,Semi-Furnished,Ready to Move,Sarjapur Road,2.8,12.3,1.0,1,16270000
1008,2,2,1.0,1.0,0,10,10,Apartment,Unfurnished,Ready to Move,Jayanagar,7.5,1.0,2.0,2,10000000
1437,3,3,1.0,2.0,2,5,7,Independent House,Unfurnished,Ready to Move,Jayanagar,7.9,5.3,3.0,1,19350000
1228,3,4,1.0,1.0,2,11,20,Apartment,Semi-Furnished,Ready to Move,Indiranagar,8.8,3.3,1.0,1,17660000
855,2,2,1.0,2.0,2,1,7,Apartment,Semi-Furnished,Ready to Move,Whitefield,3.6,23.1,4.0,1,7110000
964,2,2,3.0,2.0,1,2,10,Apartment,Furnished,Under Construction,Whitefield,4.0,23.5,2.0,2,7820000
4166,5,6,1.0,1.0,10,2,10,Apartment,Semi-Furnished,Under Construction,Whitefield,2.4,23.9,3.0,0,28940000
1484,3,3,1.0,1.0,13,3,10,Apartment,Furnished,Under Construction,Marathahalli,4.3,15.8,3.0,6,8710000
2457,5,5,2.0,1.0,3,1,3,Apartment,Unfurnished,Ready to Move,Electronic City,4.3,23.9,1.0,5,12750000
791,2,2,2.0,1.0,2,4,10,Apartment,Semi-Furnished,Under Construction,Jayanagar,9.0,2.2,3.0,1,7470000
1262,3,4,1.0,1.0,14,10,10,Apartment,Semi-Furnished,Ready to Move,Yelahanka,5.0,20.2,1.0,4,6210000
1363,2,3,2.0,2.0,7,10,10,Apartment,Semi-Furnished,Ready to Move,HSR Layout,4.9,13.8,5.0,2,16670000
874,2,2,2.0,0.0,2,12,15,Apartment,Furnished,Under Construction,Electronic City,3.7,17.9,1.0,1,5190000
1653,3,3,1.0,1.0,10,1,7,Apartment,Semi-Furnished,Ready to Move,Sarjapur Road,3.5,19.4,4.0,1,10350000
878,2,2,2.0,1.0,3,3,20,Independent House,Semi-Furnished,Ready to Move,HSR Layout,8.2,8.4,4.0,2,11210000
999,2,2,3.0,1.0,7,1,7,Independent House,Furnished,Under Construction,Whitefield,3.3,25.5,2.0,1,8190000
1100,2,2,1.0,1.0,39,5,10,Independent House,Unfurnished,Under Construction,HSR Layout,7.7,7.1,2.0,0,8270000
487,1,1,2.0,2.0,2,1,3,Independent House,Unfurnished,Ready to Move,Koramangala,6.5,4.3,1.0,4,7010000
1220,3,3,3.0,1.0,21,1,5,Villa,Semi-Furnished,Under Construction,Yelahanka,2.8,16.6,3.0,1,6410000
1864,3,3,2.0,2.0,3,13,15,Villa,Unfurnished,Ready to Move,Hebbal,3.7,11.8,5.0,2,17830000
658,1,1,0.0,1.0,6,2,3,Apartment,Semi-Furnished,Under Construction,Marathahalli,1.1,20.4,3.0,0,4030000
1100,2,3,1.0,1.0,4,15,25,Villa,Furnished,Ready to Move,Yelahanka,1.6,21.1,3.0,1,7330000
1099,2,3,2.0,1.0,12,3,5,Apartment,Semi-Furnished,Under Construction,Hebbal,4.6,7.1,2.0,4,7750000
1528,3,4,1.0,0.0,0,15,20,Apartment,Semi-Furnished,Under Construction,Koramangala,10.0,5.5,5.0,1,20160000
771,1,2,3.0,1.0,7,4,10,Independent House,Unfurnished,Ready to Move,Yelahanka,1.4,16.0,5.0,2,3890000
1412,3,3,1.0,1.0,11,9,10,Apartment,Semi-Furnished,Under Construction,Jayanagar,5.8,8.5,6.0,1,14970000
613,1,2,1.0,2.0,5,3,3,Apartment,Unfurnished,Under Construction,Hebbal,2.8,12.6,2.0,3,4380000
674,2,2,2.0,1.0,0,5,7,Independent House,Semi-Furnished,Ready to Move,Yelahanka,4.7,13.6,5.0,5,3910000
1670,4,5,1.0,1.0,2,3,5,Apartment,Unfurnished,Under Construction,Electronic City,,18.9,0.0,1,8900000
1063,3,4,1.0,1.0,9,9,10,Apartment,Semi-Furnished,Under Construction,Whitefield,3.8,18.8,2.0,1,6960000
690,1,2,0.0,1.0,18,5,10,Independent House,Semi-Furnished,Ready to Move,HSR Layout,5.8,9.6,3.0,3,7710000
978,4,5,2.0,0.0,4,5,15,Villa,Semi-Furnished,Ready to Move,Indiranagar,5.7,5.6,7.0,0,22080000
1287,3,4,2.0,0.0,6,6,20,Apartment,Unfurnished,Ready to Move,Hebbal,2.8,10.3,5.0,4,9840000
802,4,5,2.0,2.0,2,3,10,Apartment,Unfurnished,Ready to Move,Hebbal,3.6,17.1,3.0,2,6030000
1167,3,3,1.0,1.0,4,4,5,Apartment,Semi-Furnished,Ready to Move,Whitefield,5.3,21.6,3.0,2,9320000
1262,3,4,0.0,0.0,3,5,7,Independent House,Furnished,Ready to Move,Jayanagar,2.9,8.6,0.0,3,20580000
3575,5,5,2.0,1.0,8,1,15,Apartment,Semi-Furnished,Under Construction,Electronic City,4.1,21.6,4.0,2,19240000
1025,2,3,3.0,1.0,33,1,5,Apartment,Semi-Furnished,Under Construction,HSR Layout,6.8,6.9,6.0,4,8070000
1166,3,3,1.0,1.0,13,10,10,Apartment,Furnished,Under Construction,Whitefield,1.6,22.7,1.0,5,8470000
1698,3,3,2.0,2.0,1,2,3,Apartment,Unfurnished,Under Construction,Electronic City,2.9,19.0,3.0,1,9010000
551,1,2,1.0,1.0,6,2,5,Independent House,Semi-Furnished,Ready to Move,Yelahanka,4.7,9.9,2.0,2,3020000
554,1,1,1.0,0.0,0,7,10,Apartment,Semi-Furnished,Ready to Move,Electronic City,1.7,23.7,5.0,3,3180000
721,2,3,2.0,2.0,2,1,10,Villa,Unfurnished,Ready to Move,Jayanagar,5.8,3.7,4.0,2,9790000
1122,3,3,0.0,2.0,1,4,10,Apartment,Furnished,Ready to Move,Sarjapur Road,7.8,17.0,3.0,2,9170000
1168,3,4,1.0,1.0,3,2,10,Villa,Semi-Furnished,Ready to Move,Electronic City,3.8,24.1,1.0,4,8270000
1413,3,4,1.0,1.0,9,3,5,Independent House,Unfurnished,Ready to Move,Banashankari,4.3,5.2,4.0,3,11560000
558,1,2,1.0,2.0,5,4,7,Apartment,Unfurnished,Ready to Move,Banashankari,4.0,3.2,1.0,2,3890000
1832,3,3,2.0,1.0,21,2,10,Apartment,Semi-Furnished,Ready to Move,HSR Layout,6.9,13.7,1.0,0,15570000
2154,4,4,0.0,,1,10,10,Apartment,Semi-Furnished,Under Construction,Jayanagar,7.7,5.8,2.0,2,28020000
435,2,3,2.0,1.0,3,1,3,Independent House,Furnished,Ready to Move,Electronic City,0.1,25.8,0.0,1,3220000
1473,3,3,1.0,1.0,3,4,10,Apartment,Semi-Furnished,Ready to Move,HSR Layout,3.0,11.9,1.0,1,17180000
993,3,3,2.0,1.0,2,9,10,Independent House,Semi-Furnished,Ready to Move,Whitefield,2.8,22.0,4.0,1,8870000
1129,3,4,0.0,1.0,39,2,3,Villa,Unfurnished,Ready to Move,Marathahalli,3.8,14.5,2.0,2,6410000
1172,3,3,2.0,0.0,3,11,15,Independent House,Unfurnished,Under Construction,Jayanagar,6.8,6.5,2.0,4,10690000
1734,4,4,2.0,2.0,22,9,10,Villa,Semi-Furnished,Ready to Move,Whitefield,1.8,23.4,2.0,2,16490000
688,2,2,3.0,0.0,3,4,5,Apartment,Furnished,Ready to Move,HSR Layout,6.0,12.4,3.0,0,9300000
2081,4,4,3.0,1.0,1,9,10,Apartment,Semi-Furnished,Ready to Move,Yelahanka,2.9,14.2,2.0,3,11950000
681,2,3,1.0,1.0,1,3,10,Apartment,Semi-Furnished,Ready to Move,HSR Layout,5.1,11.5,4.0,4,6650000
1017,2,2,0.0,1.0,15,1,20,Independent House,Semi-Furnished,Ready to Move,Koramangala,7.2,2.1,4.0,4,16270000
796,1,2,2.0,1.0,0,1,15,Independent House,Semi-Furnished,Ready to Move,Indiranagar,7.6,4.1,5.0,3,15040000
1027,3,3,2.0,1.0,26,6,7,Villa,Unfurnished,Under Construction,Banashankari,5.4,9.7,4.0,1,7440000
895,2,2,0.0,0.0,4,3,5,Apartment,Semi-Furnished,Ready to Move,HSR Layout,6.3,8.1,4.0,3,9940000
470,2,2,0.0,1.0,2,14,20,Apartment,Semi-Furnished,Ready to Move,Marathahalli,2.3,14.4,2.0,1,3540000
892,2,2,2.0,2.0,7,8,15,Independent House,Semi-Furnished,Under Construction,Sarjapur Road,5.1,19.1,5.0,2,5990000
2257,4,5,3.0,2.0,1,4,5,Apartment,Semi-Furnished,Ready to Move,HSR Layout,4.3,9.0,4.0,3,30100000
2288,4,5,3.0,1.0,0,3,3,Apartment,Unfurnished,Ready to Move,Sarjapur Road,1.1,20.2,4.0,2,16140000
1421,3,3,1.0,1.0,14,8,15,Villa,Semi-Furnished,Ready to Move,Electronic City,3.0,20.7,3.0,2,10280000
1648,3,4,1.0,0.0,4,14,15,Apartment,Semi-Furnished,Ready to Move,Marathahalli,3.6,16.8,3.0,2,10440000
2112,3,3,0.0,1.0,5,2,5,Apartment,Unfurnished,Under Construction,Marathahalli,4.1,14.4,1.0,3,14090000
1275,2,2,1.0,1.0,1,8,10,Apartment,Semi-Furnished,Under Construction,Jayanagar,4.9,6.5,7.0,1,14420000
1790,4,4,2.0,0.0,0,1,7,Apartment,Semi-Furnished,Ready to Move,Whitefield,5.7,17.3,3.0,0,15630000
674,2,3,2.0,2.0,3,2,7,Independent House,Furnished,Under Construction,Hebbal,7.6,11.3,2.0,1,6910000
872,2,2,1.0,2.0,5,3,7,Apartment,Furnished,Ready to Move,Electronic City,3.3,22.6,4.0,1,5750000
770,2,3,0.0,0.0,11,6,10,Apartment,Semi-Furnished,Ready to Move,Koramangala,8.5,7.1,3.0,3,8780000
1526,3,3,1.0,1.0,5,14,15,Apartment,Unfurnished,Under Construction,Whitefield,1.2,19.0,2.0,2,8780000
1069,3,3,3.0,2.0,12,3,10,Independent House,Semi-Furnished,Ready to Move,Marathahalli,3.3,17.1,2.0,0,8190000
1379,3,3,1.0,1.0,0,7,7,Apartment,Semi-Furnished,Under Construction,Marathahalli,3.0,11.7,5.0,2,8600000
1109,2,3,1.0,1.0,0,9,20,Apartment,Semi-Furnished,Ready to Move,Whitefield,3.0,21.0,7.0,0,7250000
1371,3,4,2.0,1.0,1,3,3,Apartment,Unfurnished,Ready to Move,Jayanagar,5.7,4.5,2.0,1,13770000
770,2,2,2.0,0.0,11,14,15,Apartment,Semi-Furnished,Under Construction,HSR Layout,5.5,14.6,6.0,1,7140000
1173,2,3,3.0,1.0,11,8,15,Apartment,Semi-Furnished,Under Construction,Marathahalli,1.8,18.1,8.0,2,6540000
343,1,1,1.0,2.0,1,3,7,Independent House,Semi-Furnished,Under Construction,Koramangala,7.3,4.9,5.0,2,5360000
1308,3,4,1.0,1.0,0,5,5,Independent House,Furnished,Ready to Move,Sarjapur Road,2.1,16.4,5.0,2,10710000
942,2,3,1.0,1.0,9,2,20,Apartment,Semi-Furnished,Ready to Move,Electronic City,4.5,17.4,3.0,3,5150000
1404,3,4,3.0,1.0,15,5,10,Apartment,Semi-Furnished,Under Construction,Yelahanka,3.5,17.1,3.0,1,5840000
1450,3,4,2.0,2.0,11,1,3,Independent House,Semi-Furnished,Under Construction,Koramangala,8.5,4.6,2.0,4,21210000
1570,3,3,2.0,2.0,1,18,20,Apartment,Unfurnished,Ready to Move,Electronic City,4.8,24.6,1.0,1,8460000
1390,3,4,0.0,0.0,7,3,7,Independent House,Semi-Furnished,Under Construction,Whitefield,3.1,15.6,3.0,1,8710000
880,2,2,2.0,2.0,11,2,7,Apartment,Semi-Furnished,Under Construction,Yelahanka,3.4,16.4,3.0,3,3730000
872,2,2,1.0,0.0,2,1,10,Independent House,Furnished,Ready to Move,Yelahanka,4.6,17.3,4.0,1,5440000
1228,3,3,0.0,0.0,6,5,10,Independent House,Semi-Furnished,Ready to Move,HSR Layout,5.0,7.3,5.0,1,14350000
1620,3,3,0.0,1.0,3,6,7,Independent House,Semi-Furnished,Ready to Move,Marathahalli,1.0,14.3,5.0,2,12660000
1741,4,4,2.0,1.0,2,5,5,Villa,Semi-Furnished,Ready to Move,Hebbal,4.0,9.8,2.0,5,22520000
2338,4,4,1.0,1.0,27,7,10,Apartment,Semi-Furnished,Ready to Move,Jayanagar,8.1,3.5,1.0,3,21170000
953,2,2,2.0,1.0,19,2,10,Independent House,Semi-Furnished,Under Construction,Jayanagar,5.2,4.4,8.0,2,9540000
850,2,2,2.0,0.0,4,6,20,Apartment,Semi-Furnished,Ready to Move,HSR Layout,5.6,9.2,5.0,3,7720000
1573,3,4,0.0,1.0,1,8,10,Apartment,Unfurnished,Ready to Move,Whitefield,3.2,23.7,0.0,0,11940000
811,2,2,2.0,1.0,10,6,10,Villa,Furnished,Ready to Move,Yelahanka,2.7,15.0,5.0,4,6510000
620,1,2,1.0,1.0,2,3,3,Independent House,Semi-Furnished,Ready to Move,Yelahanka,1.4,13.5,2.0,0,3640000
2085,4,4,1.0,0.0,1,19,20,Independent House,Semi-Furnished,Under Construction,Marathahalli,1.8,16.4,5.0,3,16640000
836,2,2,2.0,0.0,3,3,7,Apartment,Unfurnished,Ready to Move,Electronic City,2.7,25.1,2.0,4,4920000
2211,4,4,2.0,2.0,6,7,10,Independent House,Semi-Furnished,Ready to Move,Electronic City,2.9,24.5,4.0,5,13170000
1553,3,3,1.0,2.0,0,2,20,Villa,Semi-Furnished,Ready to Move,Sarjapur Road,5.3,22.1,4.0,1,14440000
1724,3,4,2.0,0.0,6,3,15,Apartment,Unfurnished,Under Construction,Yelahanka,3.1,16.6,1.0,1,6620000
1133,2,3,2.0,1.0,0,7,10,Apartment,Furnished,Under Construction,Yelahanka,1.2,16.5,5.0,1,6020000
1043,2,2,1.0,1.0,17,9,15,Apartment,Semi-Furnished,Under Construction,Sarjapur Road,2.6,15.9,2.0,4,4750000
1084,3,3,1.0,2.0,20,17,20,Apartment,Furnished,Ready to Move,Marathahalli,5.1,18.2,2.0,5,8230000
1415,2,3,2.0,1.0,10,5,15,Independent House,Semi-Furnished,Under Construction,Whitefield,3.7,19.7,2.0,2,10500000
683,2,2,0.0,2.0,5,2,10,Villa,Unfurnished,Ready to Move,Koramangala,6.4,3.1,1.0,4,11790000
1130,2,2,2.0,1.0,2,5,10,Villa,Semi-Furnished,Ready to Move,Yelahanka,3.1,14.8,1.0,3,6620000
1031,2,3,2.0,2.0,10,5,5,Independent House,Semi-Furnished,Ready to Move,Marathahalli,2.8,15.9,9.0,4,8370000
726,2,2,1.0,0.0,21,6,10,Apartment,Semi-Furnished,Ready to Move,Whitefield,5.1,20.3,2.0,0,4230000
1365,3,4,3.0,2.0,1,7,7,Independent House,Semi-Furnished,Ready to Move,Whitefield,4.9,20.6,3.0,1,12440000
935,2,3,1.0,1.0,5,5,7,Apartment,Semi-Furnished,Ready to Move,Marathahalli,2.3,13.0,2.0,7,5890000
693,1,1,3.0,2.0,3,5,10,Independent House,Unfurnished,Ready to Move,Whitefield,7.0,19.4,6.0,0,5640000
1200,3,3,1.0,1.0,3,2,5,Apartment,Furnished,Under Construction,Koramangala,7.8,3.6,5.0,0,15520000
2653,5,5,2.0,1.0,4,2,3,Independent House,Semi-Furnished,Ready to Move,Jayanagar,2.7,10.3,2.0,2,43260000
506,2,2,1.0,2.0,24,3,7,Apartment,Semi-Furnished,Under Construction,Sarjapur Road,4.2,12.6,3.0,1,2750000
1279,2,3,2.0,1.0,2,6,7,Apartment,Unfurnished,Ready to Move,Marathahalli,0.1,15.3,8.0,7,7600000
