area_sqft,bhk,bathrooms,balconies,parking,age_years,floor,total_floors,property_type,furnishing,availability,location,amenities_score,distance_to_center_km,nearby_schools,nearby_hospitals,price,property_type_encoded,furnishing_encoded,availability_encoded,location_encoded
442.0,1,1,1,1,1,1,3,Apartment,Semi-Furnished,Under Construction,Koramangala,6.2,4.7,7,2,5250000,0,1,1,6
634.0,1,1,1,1,1,8,10,Apartment,Semi-Furnished,Ready to Move,Electronic City,4.4,21.5,1,3,3360000,0,1,0,1
849.0,2,2,1,1,2,8,20,Apartment,Semi-Furnished,Ready to Move,Jayanagar,8.1,2.6,6,1,9620000,0,1,0,5
963.0,2,3,1,1,6,1,3,Apartment,Unfurnished,Ready to Move,Indiranagar,7.7,6.5,1,2,12450000,0,2,0,4
929.0,2,2,1,1,2,4,7,Independent House,Semi-Furnished,Ready to Move,HSR Layout,6.0,11.6,1,5,14340000,1,1,0,2
1146.0,2,2,3,1,5,9,15,Villa,Semi-Furnished,Ready to Move,Marathahalli,4.1,15.3,3,3,10220000,2,1,0,7
405.0,1,1,0,1,2,2,5,Apartment,Furnished,Under Construction,Koramangala,10.0,5.7,3,4,6530000,0,0,1,6
1086.0,4,5,3,1,5,3,3,Independent House,Unfurnished,Under Construction,HSR Layout,6.4,10.4,1,2,13620000,1,2,1,2
526.0,1,1,2,1,2,4,10,Villa,Semi-Furnished,Ready to Move,Electronic City,1.9,21.3,2,3,3590000,2,1,0,1
1531.0,3,4,1,1,24,1,3,Independent House,Semi-Furnished,Ready to Move,Indiranagar,6.9,10.3,1,3,22330000,1,1,0,4
978.0,2,3,2,1,5,10,15,Apartment,Semi-Furnished,Ready to Move,Hebbal,3.6,12.4,2,0,8410000,0,1,0,3
2492.0,4,5,2,1,10,2,3,Apartment,Semi-Furnished,Ready to Move,Koramangala,9.9,1.0,5,4,39970000,0,1,0,6
2174.0,4,4,1,1,9,7,10,Apartment,Semi-Furnished,Ready to Move,Jayanagar,7.4,1.0,3,0,28790000,0,1,0,5
1242.0,3,4,1,1,5,12,15,Villa,Unfurnished,Under Construction,Marathahalli,3.5,17.6,1,5,9330000,2,2,1,7
748.0,3,3,1,1,2,1,5,Apartment,Furnished,Ready to Move,Whitefield,0.0,14.5,3,4,6080000,0,0,0,9
523.0,1,2,2,1,5,5,5,Apartment,Semi-Furnished,Ready to Move,Marathahalli,2.7,12.4,4,1,2720000,0,1,0,7
2712.875,4,6,1,1,9,4,5,Apartment,Semi-Furnished,Under Construction,Koramangala,8.5,1.0,4,0,45000000,0,1,1,6
1843.0,4,4,1,1,4,5,20,Apartment,Semi-Furnished,Under Construction,Whitefield,4.9,19.1,2,0,12670000,0,1,1,9
2011.0,4,5,1,1,0,11,15,Villa,Semi-Furnished,Ready to Move,Yelahanka,3.5,17.2,3,4,15290000,2,1,0,10
1517.0,3,3,1,1,0,2,5,Apartment,Semi-Furnished,Ready to Move,Banashankari,2.6,6.0,2,3,13880000,0,1,0,0
757.0,2,2,1,1,3,12,15,Apartment,Semi-Furnished,Under Construction,Hebbal,5.3,9.6,4,2,4810000,0,1,1,3
2249.0,4,4,1,1,1,3,15,Villa,Unfurnished,Ready to Move,Electronic City,1.9,24.2,4,1,16310000,2,2,0,1
1261.0,2,3,2,1,18,14,25,Independent House,Semi-Furnished,Under Construction,Whitefield,4.3,27.9,2,3,8920000,1,1,1,9
1351.0,3,4,2,1,1,4,7,Villa,Unfurnished,Ready to Move,Sarjapur Road,2.5,19.6,3,1,9840000,2,2,0,8
425.0,1,2,2,1,4,14,20,Independent House,Semi-Furnished,Ready to Move,Indiranagar,10.0,2.3,1,2,7450000,1,1,0,4
1973.0,4,5,2,1,9,4,7,Independent House,Semi-Furnished,Ready to Move,Koramangala,8.5,6.6,1,1,34490000,1,1,0,6
527.0,2,2,2,1,13,11,20,Apartment,Unfurnished,Ready to Move,Jayanagar,6.5,11.2,0,2,4390000,0,2,0,5
1014.0,2,3,2,1,5,3,3,Apartment,Semi-Furnished,Under Construction,Whitefield,6.4,23.2,5,2,6830000,0,1,1,9
1526.0,3,3,0,1,1,5,5,Villa,Unfurnished,Under Construction,Yelahanka,2.4,11.4,3,3,7270000,2,2,1,10
1869.0,3,4,3,1,2,2,15,Villa,Furnished,Under Construction,HSR Layout,4.2,11.6,2,3,31060000,2,0,1,2
1345.0,3,4,0,1,4,9,15,Villa,Unfurnished,Ready to Move,Marathahalli,5.6,12.6,4,0,11170000,2,2,0,7
1027.0,2,2,1,1,3,3,7,Apartment,Furnished,Under Construction,Electronic City,3.7,22.2,3,0,6140000,0,0,1,1
455.0,1,1,0,1,3,10,10,Apartment,Semi-Furnished,Under Construction,Jayanagar,6.2,4.9,2,6,3840000,0,1,1,5
1300.0,3,3,0,1,1,6,7,Apartment,Unfurnished,Under Construction,Jayanagar,5.7,8.2,3,0,12260000,0,2,1,5
1945.0,4,6,2,1,19,1,3,Apartment,Unfurnished,Ready to Move,Koramangala,8.8,2.9,4,0,23970000,0,2,0,6
1922.0,4,4,1,1,0,1,3,Apartment,Unfurnished,Ready to Move,Banashankari,5.9,12.3,4,3,14590000,0,2,0,0
1314.0,3,3,2,1,4,2,3,Independent House,Unfurnished,Ready to Move,Sarjapur Road,2.5,18.0,6,1,8070000,1,2,0,8
2119.0,4,5,1,1,24,8,10,Apartment,Unfurnished,Ready to Move,Yelahanka,3.8,15.3,2,2,8550000,0,2,0,10
831.0,2,2,1,1,8,1,7,Apartment,Semi-Furnished,Ready to Move,Yelahanka,3.4,17.7,1,1,3960000,0,1,0,10
1423.0,3,3,1,1,3,2,5,Apartment,Unfurnished,Ready to Move,Marathahalli,2.8,15.1,5,2,9000000,0,2,0,7
1306.0,3,4,2,1,1,11,20,Villa,Semi-Furnished,Under Construction,Yelahanka,3.0,17.8,1,1,8290000,2,1,1,10
887.0,2,2,1,1,24,1,5,Apartment,Semi-Furnished,Ready to Move,Whitefield,3.5,19.6,4,5,5790000,0,1,0,9
1422.0,3,4,1,1,0,10,10,Apartment,Semi-Furnished,Ready to Move,Koramangala,9.9,8.0,1,1,19290000,0,1,0,6
1411.0,3,3,1,1,9,14,20,Apartment,Unfurnished,Ready to Move,Whitefield,3.4,23.0,4,1,9770000,0,2,0,9
1094.0,2,2,3,1,16,4,5,Apartment,Furnished,Under Construction,Electronic City,5.6,22.0,3,1,5910000,0,0,1,1
927.0,2,2,0,1,0,5,5,Independent House,Semi-Furnished,Ready to Move,Electronic City,3.5,24.5,3,1,6680000,1,1,0,1
511.0,1,1,1,1,10,1,10,Independent House,Semi-Furnished,Ready to Move,HSR Layout,3.7,9.2,2,3,4630000,1,1,0,2
1349.0,3,4,1,1,24,6,10,Apartment,Unfurnished,Ready to Move,Hebbal,1.7,13.7,2,2,5830000,0,2,0,3
814.0,2,3,0,1,8,7,10,Apartment,Semi-Furnished,Ready to Move,Electronic City,3.0,24.5,5,3,4430000,0,1,0,1
881.0,2,2,1,1,4,3,10,Villa,Semi-Furnished,Ready to Move,HSR Layout,8.3,10.7,5,1,13110000,2,1,0,2
1968.0,3,3,0,1,16,8,20,Apartment,Furnished,Ready to Move,Jayanagar,8.5,3.5,6,2,19350000,0,0,0,5
1144.0,3,3,2,1,6,1,3,Apartment,Furnished,Ready to Move,Koramangala,8.2,1.0,1,5,17890000,0,0,0,6
1321.0,3,3,2,1,11,11,15,Apartment,Semi-Furnished,Ready to Move,Hebbal,3.9,12.9,0,2,11770000,0,1,0,3
1291.0,3,3,2,1,7,2,5,Independent House,Furnished,Under Construction,Whitefield,3.7,17.8,4,3,11780000,1,0,1,9
1901.0,4,5,1,1,0,2,7,Apartment,Semi-Furnished,Ready to Move,Banashankari,5.0,11.2,3,5,17870000,0,1,0,0
1867.0,4,4,2,1,1,1,3,Apartment,Unfurnished,Under Construction,Sarjapur Road,5.3,13.5,2,1,10440000,0,2,1,8
2111.0,4,4,2,1,0,4,7,Villa,Semi-Furnished,Ready to Move,Koramangala,8.9,8.0,3,0,47080000,2,1,0,6
921.0,3,3,3,1,0,12,15,Apartment,Unfurnished,Ready to Move,Whitefield,5.8,20.2,4,3,7030000,0,2,0,9
1147.0,2,2,0,1,0,1,3,Apartment,Semi-Furnished,Ready to Move,Hebbal,6.0,9.4,1,5,10870000,0,1,0,3
2712.875,4,6,1,1,4,1,7,Independent House,Unfurnished,Under Construction,Sarjapur Road,5.1,16.6,0,3,23380000,1,2,1,8
713.0,2,2,2,1,1,7,7,Apartment,Semi-Furnished,Ready to Move,Sarjapur Road,0.3,17.4,5,2,4470000,0,1,0,8
518.0,2,2,3,1,15,3,5,Villa,Semi-Furnished,Ready to Move,Sarjapur Road,2.3,19.4,6,2,4140000,2,1,0,8
764.0,2,2,3,1,11,10,15,Apartment,Semi-Furnished,Ready to Move,Whitefield,2.7,16.3,2,6,4970000,0,1,0,9
523.0,1,2,2,1,6,14,15,Apartment,Semi-Furnished,Under Construction,Electronic City,1.5,19.1,1,5,2370000,0,1,1,1
2712.875,4,5,1,1,5,14,15,Apartment,Semi-Furnished,Ready to Move,Whitefield,4.3,19.0,4,1,42150000,0,1,0,9
1552.0,3,4,0,1,2,10,10,Apartment,Furnished,Under Construction,Hebbal,2.8,11.9,3,1,16670000,0,0,1,3
893.0,3,3,3,1,5,8,10,Apartment,Semi-Furnished,Ready to Move,Marathahalli,2.6,16.1,1,3,6160000,0,1,0,7
1206.0,3,4,1,1,8,1,7,Independent House,Semi-Furnished,Ready to Move,Electronic City,3.2,22.8,2,0,8110000,1,1,0,1
1385.0,3,4,1,1,12,8,10,Apartment,Furnished,Ready to Move,Whitefield,1.9,18.8,3,1,9790000,0,0,0,9
577.0,1,1,3,1,0,3,7,Apartment,Unfurnished,Ready to Move,Electronic City,2.6,22.7,2,4,2730000,0,2,0,1
1031.0,3,4,0,1,9,12,25,Apartment,Furnished,Ready to Move,Electronic City,4.3,22.5,1,3,7010000,0,0,0,1
1362.0,3,4,2,1,10,14,25,Independent House,Semi-Furnished,Ready to Move,Sarjapur Road,1.8,17.2,0,1,9460000,1,1,0,8
813.0,2,2,2,1,6,14,20,Apartment,Unfurnished,Under Construction,Marathahalli,5.2,14.3,5,1,4500000,0,2,1,7
1090.0,3,3,0,1,1,7,7,Apartment,Unfurnished,Ready to Move,Yelahanka,1.8,9.5,2,4,5220000,0,2,0,10
999.0,2,3,1,1,6,7,7,Apartment,Semi-Furnished,Ready to Move,Indiranagar,9.1,7.8,4,1,16400000,0,1,0,4
1097.0,2,3,0,1,5,12,20,Apartment,Unfurnished,Under Construction,Whitefield,2.7,21.6,1,3,5400000,0,2,1,9
1109.0,2,3,2,1,5,4,15,Apartment,Unfurnished,Under Construction,Sarjapur Road,4.3,22.5,4,1,5990000,0,2,1,8
1059.0,2,3,1,1,4,13,15,Independent House,Semi-Furnished,Ready to Move,Sarjapur Road,3.2,15.6,4,4,7900000,1,1,0,8
1801.0,4,5,0,1,0,5,7,Apartment,Semi-Furnished,Ready to Move,Jayanagar,7.4,7.7,4,2,24310000,0,1,0,5
2285.0,4,5,3,1,1,11,15,Apartment,Semi-Furnished,Ready to Move,Sarjapur Road,2.8,12.3,1,1,16270000,0,1,0,8
1008.0,2,2,1,1,0,10,10,Apartment,Unfurnished,Ready to Move,Jayanagar,7.5,1.0,2,2,10000000,0,2,0,5
1437.0,3,3,1,1,2,5,7,Independent House,Unfurnished,Ready to Move,Jayanagar,7.9,5.3,3,1,19350000,1,2,0,5
1228.0,3,4,1,1,2,11,20,Apartment,Semi-Furnished,Ready to Move,Indiranagar,8.8,3.3,1,1,17660000,0,1,0,4
855.0,2,2,1,1,2,1,7,Apartment,Semi-Furnished,Ready to Move,Whitefield,3.6,23.1,4,1,7110000,0,1,0,9
964.0,2,2,3,1,1,2,10,Apartment,Furnished,Under Construction,Whitefield,4.0,23.5,2,2,7820000,0,0,1,9
2712.875,4,6,1,1,10,2,10,Apartment,Semi-Furnished,Under Construction,Whitefield,2.4,23.9,3,0,28940000,0,1,1,9
1484.0,3,3,1,1,13,3,10,Apartment,Furnished,Under Construction,Marathahalli,4.3,15.8,3,6,8710000,0,0,1,7
2457.0,4,5,2,1,3,1,3,Apartment,Unfurnished,Ready to Move,Electronic City,4.3,23.9,1,5,12750000,0,2,0,1
791.0,2,2,2,1,2,4,10,Apartment,Semi-Furnished,Under Construction,Jayanagar,9.0,2.2,3,1,7470000,0,1,1,5
1262.0,3,4,1,1,14,10,10,Apartment,Semi-Furnished,Ready to Move,Yelahanka,5.0,20.2,1,4,6210000,0,1,0,10
1363.0,2,3,2,1,7,10,10,Apartment,Semi-Furnished,Ready to Move,HSR Layout,4.9,13.8,5,2,16670000,0,1,0,2
874.0,2,2,2,1,2,12,15,Apartment,Furnished,Under Construction,Electronic City,3.7,17.9,1,1,5190000,0,0,1,1
1653.0,3,3,1,1,10,1,7,Apartment,Semi-Furnished,Ready to Move,Sarjapur Road,3.5,19.4,4,1,10350000,0,1,0,8
878.0,2,2,2,1,3,3,20,Independent House,Semi-Furnished,Ready to Move,HSR Layout,8.2,8.4,4,2,11210000,1,1,0,2
999.0,2,2,3,1,7,1,7,Independent House,Furnished,Under Construction,Whitefield,3.3,25.5,2,1,8190000,1,0,1,9
1100.0,2,2,1,1,24,5,10,Independent House,Unfurnished,Under Construction,HSR Layout,7.7,7.1,2,0,8270000,1,2,1,2
487.0,1,1,2,1,2,1,3,Independent House,Unfurnished,Ready to Move,Koramangala,6.5,4.3,1,4,7010000,1,2,0,6
1220.0,3,3,3,1,21,1,5,Villa,Semi-Furnished,Under Construction,Yelahanka,2.8,16.6,3,1,6410000,2,1,1,10
1864.0,3,3,2,1,3,13,15,Villa,Unfurnished,Ready to Move,Hebbal,3.7,11.8,5,2,17830000,2,2,0,3
658.0,1,1,0,1,6,2,3,Apartment,Semi-Furnished,Under Construction,Marathahalli,1.1,20.4,3,0,4030000,0,1,1,7
1100.0,2,3,1,1,4,14,25,Villa,Furnished,Ready to Move,Yelahanka,1.6,21.1,3,1,7330000,2,0,0,10
1099.0,2,3,2,1,12,3,5,Apartment,Semi-Furnished,Under Construction,Hebbal,4.6,7.1,2,4,7750000,0,1,1,3
1528.0,3,4,1,1,0,14,20,Apartment,Semi-Furnished,Under Construction,Koramangala,10.0,5.5,5,1,20160000,0,1,1,6
771.0,1,2,3,1,7,4,10,Independent House,Unfurnished,Ready to Move,Yelahanka,1.4,16.0,5,2,3890000,1,2,0,10
1412.0,3,3,1,1,11,9,10,Apartment,Semi-Furnished,Under Construction,Jayanagar,5.8,8.5,6,1,14970000,0,1,1,5
613.0,1,2,1,1,5,3,3,Apartment,Unfurnished,Under Construction,Hebbal,2.8,12.6,2,3,4380000,0,2,1,3
674.0,2,2,2,1,0,5,7,Independent House,Semi-Furnished,Ready to Move,Yelahanka,4.7,13.6,5,5,3910000,1,1,0,10
1670.0,4,5,1,1,2,3,5,Apartment,Unfurnished,Under Construction,Electronic City,4.8,18.9,0,1,8900000,0,2,1,1
1063.0,3,4,1,1,9,9,10,Apartment,Semi-Furnished,Under Construction,Whitefield,3.8,18.8,2,1,6960000,0,1,1,9
690.0,1,2,0,1,18,5,10,Independent House,Semi-Furnished,Ready to Move,HSR Layout,5.8,9.6,3,3,7710000,1,1,0,2
978.0,4,5,2,1,4,5,15,Villa,Semi-Furnished,Ready to Move,Indiranagar,5.7,5.6,7,0,22080000,2,1,0,4
1287.0,3,4,2,1,6,6,20,Apartment,Unfurnished,Ready to Move,Hebbal,2.8,10.3,5,4,9840000,0,2,0,3
802.0,4,5,2,1,2,3,10,Apartment,Unfurnished,Ready to Move,Hebbal,3.6,17.1,3,2,6030000,0,2,0,3
1167.0,3,3,1,1,4,4,5,Apartment,Semi-Furnished,Ready to Move,Whitefield,5.3,21.6,3,2,9320000,0,1,0,9
1262.0,3,4,0,1,3,5,7,Independent House,Furnished,Ready to Move,Jayanagar,2.9,8.6,0,3,20580000,1,0,0,5
2712.875,4,5,2,1,8,1,15,Apartment,Semi-Furnished,Under Construction,Electronic City,4.1,21.6,4,2,19240000,0,1,1,1
1025.0,2,3,3,1,24,1,5,Apartment,Semi-Furnished,Under Construction,HSR Layout,6.8,6.9,6,4,8070000,0,1,1,2
1166.0,3,3,1,1,13,10,10,Apartment,Furnished,Under Construction,Whitefield,1.6,22.7,1,5,8470000,0,0,1,9
1698.0,3,3,2,1,1,2,3,Apartment,Unfurnished,Under Construction,Electronic City,2.9,19.0,3,1,9010000,0,2,1,1
551.0,1,2,1,1,6,2,5,Independent House,Semi-Furnished,Ready to Move,Yelahanka,4.7,9.9,2,2,3020000,1,1,0,10
554.0,1,1,1,1,0,7,10,Apartment,Semi-Furnished,Ready to Move,Electronic City,1.7,23.7,5,3,3180000,0,1,0,1
721.0,2,3,2,1,2,1,10,Villa,Unfurnished,Ready to Move,Jayanagar,5.8,3.7,4,2,9790000,2,2,0,5
1122.0,3,3,0,1,1,4,10,Apartment,Furnished,Ready to Move,Sarjapur Road,7.8,17.0,3,2,9170000,0,0,0,8
1168.0,3,4,1,1,3,2,10,Villa,Semi-Furnished,Ready to Move,Electronic City,3.8,24.1,1,4,8270000,2,1,0,1
1413.0,3,4,1,1,9,3,5,Independent House,Unfurnished,Ready to Move,Banashankari,4.3,5.2,4,3,11560000,1,2,0,0
558.0,1,2,1,1,5,4,7,Apartment,Unfurnished,Ready to Move,Banashankari,4.0,3.2,1,2,3890000,0,2,0,0
1832.0,3,3,2,1,21,2,10,Apartment,Semi-Furnished,Ready to Move,HSR Layout,6.9,13.7,1,0,15570000,0,1,0,2
2154.0,4,4,0,1,1,10,10,Apartment,Semi-Furnished,Under Construction,Jayanagar,7.7,5.8,2,2,28020000,0,1,1,5
435.0,2,3,2,1,3,1,3,Independent House,Furnished,Ready to Move,Electronic City,0.1,25.8,0,1,3220000,1,0,0,1
1473.0,3,3,1,1,3,4,10,Apartment,Semi-Furnished,Ready to Move,HSR Layout,3.0,11.9,1,1,17180000,0,1,0,2
993.0,3,3,2,1,2,9,10,Independent House,Semi-Furnished,Ready to Move,Whitefield,2.8,22.0,4,1,8870000,1,1,0,9
1129.0,3,4,0,1,24,2,3,Villa,Unfurnished,Ready to Move,Marathahalli,3.8,14.5,2,2,6410000,2,2,0,7
1172.0,3,3,2,1,3,11,15,Independent House,Unfurnished,Under Construction,Jayanagar,6.8,6.5,2,4,10690000,1,2,1,5
1734.0,4,4,2,1,22,9,10,Villa,Semi-Furnished,Ready to Move,Whitefield,1.8,23.4,2,2,16490000,2,1,0,9
688.0,2,2,3,1,3,4,5,Apartment,Furnished,Ready to Move,HSR Layout,6.0,12.4,3,0,9300000,0,0,0,2
2081.0,4,4,3,1,1,9,10,Apartment,Semi-Furnished,Ready to Move,Yelahanka,2.9,14.2,2,3,11950000,0,1,0,10
681.0,2,3,1,1,1,3,10,Apartment,Semi-Furnished,Ready to Move,HSR Layout,5.1,11.5,4,4,6650000,0,1,0,2
1017.0,2,2,0,1,15,1,20,Independent House,Semi-Furnished,Ready to Move,Koramangala,7.2,2.1,4,4,16270000,1,1,0,6
796.0,1,2,2,1,0,1,15,Independent House,Semi-Furnished,Ready to Move,Indiranagar,7.6,4.1,5,3,15040000,1,1,0,4
1027.0,3,3,2,1,24,6,7,Villa,Unfurnished,Under Construction,Banashankari,5.4,9.7,4,1,7440000,2,2,1,0
895.0,2,2,0,1,4,3,5,Apartment,Semi-Furnished,Ready to Move,HSR Layout,6.3,8.1,4,3,9940000,0,1,0,2
470.0,2,2,0,1,2,14,20,Apartment,Semi-Furnished,Ready to Move,Marathahalli,2.3,14.4,2,1,3540000,0,1,0,7
892.0,2,2,2,1,7,8,15,Independent House,Semi-Furnished,Under Construction,Sarjapur Road,5.1,19.1,5,2,5990000,1,1,1,8
2257.0,4,5,3,1,1,4,5,Apartment,Semi-Furnished,Ready to Move,HSR Layout,4.3,9.0,4,3,30100000,0,1,0,2
2288.0,4,5,3,1,0,3,3,Apartment,Unfurnished,Ready to Move,Sarjapur Road,1.1,20.2,4,2,16140000,0,2,0,8
1421.0,3,3,1,1,14,8,15,Villa,Semi-Furnished,Ready to Move,Electronic City,3.0,20.7,3,2,10280000,2,1,0,1
1648.0,3,4,1,1,4,14,15,Apartment,Semi-Furnished,Ready to Move,Marathahalli,3.6,16.8,3,2,10440000,0,1,0,7
2112.0,3,3,0,1,5,2,5,Apartment,Unfurnished,Under Construction,Marathahalli,4.1,14.4,1,3,14090000,0,2,1,7
1275.0,2,2,1,1,1,8,10,Apartment,Semi-Furnished,Under Construction,Jayanagar,4.9,6.5,7,1,14420000,0,1,1,5
1790.0,4,4,2,1,0,1,7,Apartment,Semi-Furnished,Ready to Move,Whitefield,5.7,17.3,3,0,15630000,0,1,0,9
674.0,2,3,2,1,3,2,7,Independent House,Furnished,Under Construction,Hebbal,7.6,11.3,2,1,6910000,1,0,1,3
872.0,2,2,1,1,5,3,7,Apartment,Furnished,Ready to Move,Electronic City,3.3,22.6,4,1,5750000,0,0,0,1
770.0,2,3,0,1,11,6,10,Apartment,Semi-Furnished,Ready to Move,Koramangala,8.5,7.1,3,3,8780000,0,1,0,6
1526.0,3,3,1,1,5,14,15,Apartment,Unfurnished,Under Construction,Whitefield,1.2,19.0,2,2,8780000,0,2,1,9
1069.0,3,3,3,1,12,3,10,Independent House,Semi-Furnished,Ready to Move,Marathahalli,3.3,17.1,2,0,8190000,1,1,0,7
1379.0,3,3,1,1,0,7,7,Apartment,Semi-Furnished,Under Construction,Marathahalli,3.0,11.7,5,2,8600000,0,1,1,7
1109.0,2,3,1,1,0,9,20,Apartment,Semi-Furnished,Ready to Move,Whitefield,3.0,21.0,7,0,7250000,0,1,0,9
1371.0,3,4,2,1,1,3,3,Apartment,Unfurnished,Ready to Move,Jayanagar,5.7,4.5,2,1,13770000,0,2,0,5
770.0,2,2,2,1,11,14,15,Apartment,Semi-Furnished,Under Construction,HSR Layout,5.5,14.6,6,1,7140000,0,1,1,2
1173.0,2,3,3,1,11,8,15,Apartment,Semi-Furnished,Under Construction,Marathahalli,1.8,18.1,7,2,6540000,0,1,1,7
343.0,1,1,1,1,1,3,7,Independent House,Semi-Furnished,Under Construction,Koramangala,7.3,4.9,5,2,5360000,1,1,1,6
1308.0,3,4,1,1,0,5,5,Independent House,Furnished,Ready to Move,Sarjapur Road,2.1,16.4,5,2,10710000,1,0,0,8
942.0,2,3,1,1,9,2,20,Apartment,Semi-Furnished,Ready to Move,Electronic City,4.5,17.4,3,3,5150000,0,1,0,1
1404.0,3,4,3,1,15,5,10,Apartment,Semi-Furnished,Under Construction,Yelahanka,3.5,17.1,3,1,5840000,0,1,1,10
1450.0,3,4,2,1,11,1,3,Independent House,Semi-Furnished,Under Construction,Koramangala,8.5,4.6,2,4,21210000,1,1,1,6
1570.0,3,3,2,1,1,14,20,Apartment,Unfurnished,Ready to Move,Electronic City,4.8,24.6,1,1,8460000,0,2,0,1
1390.0,3,4,0,1,7,3,7,Independent House,Semi-Furnished,Under Construction,Whitefield,3.1,15.6,3,1,8710000,1,1,1,9
880.0,2,2,2,1,11,2,7,Apartment,Semi-Furnished,Under Construction,Yelahanka,3.4,16.4,3,3,3730000,0,1,1,10
872.0,2,2,1,1,2,1,10,Independent House,Furnished,Ready to Move,Yelahanka,4.6,17.3,4,1,5440000,1,0,0,10
1228.0,3,3,0,1,6,5,10,Independent House,Semi-Furnished,Ready to Move,HSR Layout,5.0,7.3,5,1,14350000,1,1,0,2
1620.0,3,3,0,1,3,6,7,Independent House,Semi-Furnished,Ready to Move,Marathahalli,1.0,14.3,5,2,12660000,1,1,0,7
1741.0,4,4,2,1,2,5,5,Villa,Semi-Furnished,Ready to Move,Hebbal,4.0,9.8,2,5,22520000,2,1,0,3
2338.0,4,4,1,1,24,7,10,Apartment,Semi-Furnished,Ready to Move,Jayanagar,8.1,3.5,1,3,21170000,0,1,0,5
953.0,2,2,2,1,19,2,10,Independent House,Semi-Furnished,Under Construction,Jayanagar,5.2,4.4,7,2,9540000,1,1,1,5
850.0,2,2,2,1,4,6,20,Apartment,Semi-Furnished,Ready to Move,HSR Layout,5.6,9.2,5,3,7720000,0,1,0,2
1573.0,3,4,0,1,1,8,10,Apartment,Unfurnished,Ready to Move,Whitefield,3.2,23.7,0,0,11940000,0,2,0,9
811.0,2,2,2,1,10,6,10,Villa,Furnished,Ready to Move,Yelahanka,2.7,15.0,5,4,6510000,2,0,0,10
620.0,1,2,1,1,2,3,3,Independent House,Semi-Furnished,Ready to Move,Yelahanka,1.4,13.5,2,0,3640000,1,1,0,10
2085.0,4,4,1,1,1,14,20,Independent House,Semi-Furnished,Under Construction,Marathahalli,1.8,16.4,5,3,16640000,1,1,1,7
836.0,2,2,2,1,3,3,7,Apartment,Unfurnished,Ready to Move,Electronic City,2.7,25.1,2,4,4920000,0,2,0,1
2211.0,4,4,2,1,6,7,10,Independent House,Semi-Furnished,Ready to Move,Electronic City,2.9,24.5,4,5,13170000,1,1,0,1
1553.0,3,3,1,1,0,2,20,Villa,Semi-Furnished,Ready to Move,Sarjapur Road,5.3,22.1,4,1,14440000,2,1,0,8
1724.0,3,4,2,1,6,3,15,Apartment,Unfurnished,Under Construction,Yelahanka,3.1,16.6,1,1,6620000,0,2,1,10
1133.0,2,3,2,1,0,7,10,Apartment,Furnished,Under Construction,Yelahanka,1.2,16.5,5,1,6020000,0,0,1,10
1043.0,2,2,1,1,17,9,15,Apartment,Semi-Furnished,Under Construction,Sarjapur Road,2.6,15.9,2,4,4750000,0,1,1,8
